index,text
983,"""I am an honest seller and I insure 100% satisfaction to my customers.  I can also ship out a better quality beanie visor hat for you. 
 
Please withdraw the feedback:"" -JTF Trading

Don't bother. I bought a better product from OldGlory. The feedback stays. People should know what they are buying. -Me

""Not a problem.  1 feedback doesn't hurt us at all because all of our other customers know about our products and our excellent customer service."" -JTF Trading

Well, I guess all I can do is you ""other customers"" know what a POS this hat was. That, and I had the hassle of this guy emailing me after I thought I made it clear that the matter was closed. 

Try OldGlory for a better deal and a better product"
1016,"My order arrived on time, the product was not as I expected. In my oppinion people shouldn't be allowed to use brand names like ""Ray-Ban"" if the product they sell is not that brand in particular. I guessed it by the price, but still, I thought, maybe was some crazy clearance, or who knows why. The package got here in excellent conditions. The seller offered a full refund, but I kept them to remind me of my mistake... So, the product's description is confusing and tricky... I am not happy with my purchase, but I hope I learned a lesson: ""nobody sells $100 bills for $20"""
1026,"To me a ""basic wool flannel trouser"" would be a more classic fit. The very low waist (NOT waist), 4"" zipper, too-long, and very wide cuff was an awful disappointment. I own 3 pr. Harve Benard from 4-5 years ago which fit me beautifully - same good tailoring, lined wool - so that's what I expected. I am 5'7"" and this year's design drags on the floor and sits down on my hips. The pant legs are 4"" wider than my old ones. Also missing here are the side elastic options"
1050,"I expected this bag to be much more comfortable ... but I have to constantly pull it back up on my shoulder just as often as other handbags. However, I do like all the compartments for organizing"
1053,"If you are a small frame person or a short person these will work fine for you. The white is thin and you can see through it so i don't reccomend buying white on this brand. The t-shirts run very small. A size x-large fits both of us very big on most brands but this brand was so tight we could not even get it on so these run very small. They are also short. 29 inches is short for a man's t-shirt. If you are tall, i would not recommend this t-shirt. 

The t-shirt is soft, not scratchy and the style is nice. We only had problems with the sizing and of course the white being so thin that it is see through"
1075,I didn't realize how big this bag really was until I received it. It makes a nice gift though
1115,I ordered this item one month ago and still haven't recived JACK!!!!
1127,"The Vibram soles leave black streaks all over the floors, and make it so I cannot wear them at work.  I love Rockports in general, and these are comfortable and well made as expected, but they leave a trail of scuff marks"
1129,The slipper seems to have some craftmenship. In my case they seem to run about a half size small. Who wants to wait for a pair of slippers to stretch? I wish I had known this in advance ... they look good in my closet though
1148,"I was able to track the progress of this item, and it took almost two weeks AFTER the order request hit the warehouse for for the item to be shipped.  I also paid for 2 Day shipping and once the item shipped it took 3 days to get to me"
1153,I like how smooth it is under t-shirts but the size is out. I ordered my usual 34B but found it too small. 34B fits in other brands so I know it's not because I've got bigger
1233,I did not expect the Jockey to not show any lines but there was absolutely no difference between these and a regular pair of bikini. These should be renamed Jockey Show-Everything Bikini
1276,"I bought a pair of these Calvin Klein hip briefs at a local retail store last year. I found this pair of underwear to be very tight and uncomfortable. I'm large up front and I found the crotch area to be quite small and thin. The pouch is also to small. I am a briefs man myself, but these are not as comfortable as most briefs. I can say though these briefs are good for wearing under low rise jeans. I would rather wear the Calvin Klein trunks or a pair of boxerbriefs instead of the hip briefs. The trunks are more comfortable for well endowed guys like me. If I had to choose only between these underwears or none at all, I would rather not wear any underwear at all"
1284,"where are larger sizes for big chested ladies, we exercise also!!"
1336,"I ordered this items in size xx-large for my 20 months doughter and there are huge. Maybe will fit when she will be 4 or 5, although she looks normaly for her age"
1373,"I was supposed to get it by no later than March 2, It is now March 19 and still no bag! I had read another review that said they waited a long time for this item, but I figured since I ordered it Febuary 15, to be sure it would be by now! What have they got working in their shipping department a couple of monkeys that only work two days a week"
1394,"I think that these shoes are very sassy, but I ran into one problem ordering them online...they aren't true to their size.  I always wear a 6 1/2 but after putting these on, my feet were asleep after about 10 minutes.  Order wisely"
1463,"This was TOO SMALL! The description says ""women's"" but there is NO way a woman will fit into this top. ""6th grade girl"" would be a better description. The price was great so I ordered a large but I usually wear a medium so I was shocked when it didn't even come close to fitting."
1465,I bought these at Target for my sons.  My six year old wore his two months until they fell apart.  Not too long in my opinion.
1480,"Nice looking boots - I got them in the mail yesterday.  I wear size 11 1/2 for every other brand and can sometimes comfortably wear a size 11, but these are waaayyyyy too tight.  I am going to need to send them back for a larger size.  I am going to try a size 12, but am afraid that they'll still be a little small"
